,time,reward
0,3.337860107421875e-06,0
1,2.86102294921875e-06,0
2,2.86102294921875e-06,0
3,2.6226043701171875e-06,0
4,2.6226043701171875e-06,0
5,2.384185791015625e-06,0
6,2.1457672119140625e-06,0
7,2.1457672119140625e-06,0
8,2.1457672119140625e-06,0
9,2.1457672119140625e-06,0
10,2.384185791015625e-06,0
11,2.1457672119140625e-06,0
12,2.384185791015625e-06,0
13,2.6226043701171875e-06,0
14,2.384185791015625e-06,0
15,2.384185791015625e-06,0
16,2.384185791015625e-06,0
17,2.384185791015625e-06,0
18,2.1457672119140625e-06,0
19,2.6226043701171875e-06,0
20,2.1457672119140625e-06,0
21,2.1457672119140625e-06,0
22,1.9073486328125e-06,0
23,2.1457672119140625e-06,0
24,2.384185791015625e-06,0
25,2.384185791015625e-06,0
26,1.9073486328125e-06,0
27,1.9073486328125e-06,0
28,1.9073486328125e-06,0
29,2.1457672119140625e-06,0
30,2.384185791015625e-06,0
31,2.384185791015625e-06,0
32,2.384185791015625e-06,0
33,2.1457672119140625e-06,0
34,2.1457672119140625e-06,0
35,2.384185791015625e-06,0
36,2.1457672119140625e-06,0
37,1.9073486328125e-06,0
38,1.9073486328125e-06,0
39,2.1457672119140625e-06,0
40,1.9073486328125e-06,0
41,2.1457672119140625e-06,0
42,2.1457672119140625e-06,0
43,1.9073486328125e-06,0
44,2.1457672119140625e-06,0
45,2.384185791015625e-06,0
46,1.9073486328125e-06,0
47,1.9073486328125e-06,0
48,2.1457672119140625e-06,0
49,2.384185791015625e-06,0
50,1.9073486328125e-06,0
51,1.9073486328125e-06,0
52,1.9073486328125e-06,0
53,1.9073486328125e-06,0
54,2.384185791015625e-06,0
55,2.1457672119140625e-06,0
56,2.1457672119140625e-06,0
57,2.384185791015625e-06,0
58,2.384185791015625e-06,0
59,2.1457672119140625e-06,0
60,2.1457672119140625e-06,0
61,2.1457672119140625e-06,0
62,2.384185791015625e-06,0
63,2.1457672119140625e-06,0
64,1.9073486328125e-06,0
65,2.1457672119140625e-06,0
66,1.9073486328125e-06,0
67,2.1457672119140625e-06,0
68,2.1457672119140625e-06,0
69,2.1457672119140625e-06,0
70,2.1457672119140625e-06,0
71,2.1457672119140625e-06,0
72,2.384185791015625e-06,0
73,2.1457672119140625e-06,0
74,2.1457672119140625e-06,0
75,2.1457672119140625e-06,0
76,2.1457672119140625e-06,0
77,1.9073486328125e-06,0
78,2.1457672119140625e-06,0
79,2.1457672119140625e-06,0
80,2.1457672119140625e-06,0
81,2.1457672119140625e-06,0
82,2.384185791015625e-06,0
83,2.1457672119140625e-06,0
84,2.1457672119140625e-06,0
85,1.9073486328125e-06,0
86,2.1457672119140625e-06,0
87,2.1457672119140625e-06,0
88,2.1457672119140625e-06,0
89,1.9073486328125e-06,0
90,2.384185791015625e-06,0
91,2.1457672119140625e-06,0
92,2.384185791015625e-06,0
93,2.384185791015625e-06,0
94,2.384185791015625e-06,0
95,2.384185791015625e-06,0
96,2.384185791015625e-06,0
97,2.384185791015625e-06,0
98,1.9073486328125e-06,0
99,2.1457672119140625e-06,0
